[2026-06-18 20:53:27] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:29] Scout (ATT WINS): att=57, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:29] Scout (ATT WINS): att=48, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:29] Scout (ATT WINS): att=165, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:29] Scout (ATT WINS): att=25, def=0, losses=0, spy_level=4, only_spies=false
[2026-06-18 20:53:29] Scout (ATT WINS): att=105, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:30] Scout (ATT WINS): att=174, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:30] Scout (ATT WINS): att=39, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:30] Scout (ATT WINS): att=25, def=0, losses=0, spy_level=4, only_spies=false
[2026-06-18 20:53:30] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:30] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:30] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:30] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:34] Scout (ATT WINS): att=98, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:34] Scout (ATT WINS): att=19, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:34] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:35] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:35] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:35] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:35] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:35] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:36] Scout (ATT WINS): att=12, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:36] Scout (ATT WINS): att=34, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:36] Scout (ATT WINS): att=199, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:36] Scout (ATT WINS): att=66, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:36] Scout (ATT WINS): att=16, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:36] Scout (ATT WINS): att=297, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:36] Scout (ATT WINS): att=13, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:36] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:36] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:36] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:37] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:37] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:37] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:37] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:37] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:43] Scout (ATT WINS): att=51, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:44] Scout (ATT WINS): att=199, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:44] Scout (ATT WINS): att=16, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:44] Scout (ATT WINS): att=99, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:44] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:44] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:44] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:44] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:44] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:44] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:44] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:48] Scout (ATT WINS): att=24, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:48] Scout (ATT WINS): att=17, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:48] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:48] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:48] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:48] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:48] Scout (DEF WINS): att=12, def=0, losses=0, spy_fails
[2026-06-18 20:53:48] Scout (ATT WINS): att=12, def=0, losses=0, spy_level=4, only_spies=false
[2026-06-18 20:53:48] Scout (ATT WINS): att=12, def=0, losses=0, spy_level=4, only_spies=false
[2026-06-18 20:53:48] Scout (ATT WINS): att=98, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:48] Scout (ATT WINS): att=19, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:48] Scout (ATT WINS): att=39, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:48] Scout (ATT WINS): att=199, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:48] Scout (ATT WINS): att=105, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:48] Scout (ATT WINS): att=261, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:48] Scout (ATT WINS): att=78, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:48] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:48] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:48] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:49] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:49] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:49] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:49] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:49] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
